"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"Custom:C2-LARGE_PADS";1;"0.1 uF";;;
2;"C2,C4,C8,C9,C10";"Custom:C1V5-LARGE_PADS";5;"10 uF";;;
3;"C6,C7";"Custom:C2-LARGE_PADS";2;"10nF";;;
4;"P1";"Pin_Headers:Pin_Header_Straight_1x02";1;"IN";;;
5;"P2";"Pin_Headers:Pin_Header_Straight_1x02";1;"9V";;;
6;"P3";"Pin_Headers:Pin_Header_Straight_1x01";1;"HIGH";;;
7;"P4";"Pin_Headers:Pin_Header_Straight_1x01";1;"SUM";;;
8;"P5";"Pin_Headers:Pin_Header_Straight_1x01";1;"LOW";;;
9;"R1";"Custom:R3-LARGE_PADS";1;"1Meg";;;
10;"R2";"Custom:R3-LARGE_PADS";1;"1K";;;
11;"R3,R15,R16,R17";"Custom:R3-LARGE_PADS";4;"470";;;
12;"R4,R5,R6,R9,R10,R11,R14";"Custom:R3-LARGE_PADS";7;"10K";;;
13;"R7,R8";"Custom:R3-LARGE_PADS";2;"2.2K";;;
14;"R12,R13";"Custom:R3-LARGE_PADS";2;"47K";;;
15;"RV1,RV2";"Pin_Headers:Pin_Header_Straight_1x03";2;"B 25K";;;
16;"RV3.1,RV3.2";"Pin_Headers:Pin_Header_Straight_1x03";2;"C 100K";;;
17;"RV5,RV6,RV7";"Pin_Headers:Pin_Header_Straight_1x03";3;"A 10K";;;
18;"SW1.1,SW1.2,SW1.3";"Pin_Headers:Pin_Header_Straight_1x03";3;"SW-SPDT";;;
19;"U1,U3,U4";"Custom:DIP-8_LARGE_PADS";3;"TLC2272";;;
20;"U2";"Housings_TO-92:TO-92-Free-rugged";1;"TLE2426";;;
